,title,genre_ids
3002,athena,"28,12,53,18"
8309,athletea,99
8794,atlantics,"18,10749,14"
1882,atlas,"878,28"
3904,atmidnightilltakey,"27,53"
1597,atomicblonde,"28,12,53"
4210,atonement,"18,10749"
6152,attack,"28,878,53"
7325,attackofthehollywo,99
4118,attackofthekillert,"35,27,878"
6384,attackontitan,"27,28,878"
5340,attackontitaniiend,"27,878,28"
3382,attacktheblock,"28,35,878"
6067,attheearthscore,"12,14,878"
4026,atthesportsbar,35
6060,attilascourgeofgod,35
8885,attorney,"36,18"
3372,attraction,"18,10749,878,12"
9714,atwar,18
9397,audition,"27,18"
4499,august15th,35
2835,auntiedanielle,"35,18"
9494,auntieedna,"16,35,10751,878"
2726,aura,"18,53"
2796,aurevoirlesenfants,"18,10752"
2697,austinpowersingold,"35,80,878"
2318,austinpowersintern,"878,35,80"
2368,austinpowersthespy,"12,35,80,878"
2077,australia,"12,10749,18"
10038,australianidol,10764
10173,australiansurvivor,10764
7196,authentik,"10402,18"
492,automata,"53,878"
9963,autopsy,"27,53"
4409,autopsyofjanedoe,"27,9648"
5350,autumnafternoon,18
4671,autumnandtheblackj,"12,10751"
7494,autumnromance,"10749,18"
7933,ava,"28,53,80"
68,availablelight,99
5628,avalonhigh,"14,10751,18,10770"
665,avatar,"28,12,14,878"
4565,avatarcreatingthew,99
401,avatarthewayofwate,"878,12,28"
7576,avengement,"80,28"
417,avengers,"878,28,12"
1263,avengersageofultro,"28,12,878"
4523,avengersconfidenti,"16,878,28"
1805,avengersendgame,"12,878,28"
273,avengersinfinitywa,"12,28,878"
3973,avenuemontaigne,"35,18,10749"
1314,aviator,18
9649,awaitfurtherinstru,27
7407,awake,"18,878,53"
9646,awakener,"53,28,80,18"
2252,awakening,"27,53,9648"
9709,awakeningofmottiwo,35
4243,awakenings,18
6268,awareness,"878,9648,53,28"
9814,axl,"878,28,12,10751"
327,azrael,"28,27,53"
8632,baaghi3,"28,12,53"
2971,babadook,"18,27"
615,babaimfine,35
8363,babayagaterrorofth,27
2498,babe,"14,18,35,10751"
4472,babel,18
5674,babepiginthecity,"10751,12,35,18"
6183,babyboy,"80,18,10749,53"
913,babydriver,"28,80"
717,babyface,18
280,babygirl,18
851,babylon,"18,35"
7030,babylonad,"28,12,878,53"
2495,babysdayout,"35,12,10751,80,18"
4383,babysitter,"18,53"
6580,babysitterkillerqu,"35,27"
8948,babysitters,18
7895,babysittersguideto,"10751,14,12,35"
1226,babysitting,35
